"Date & Time (Winter)","Attribute Name","Zefat Har Kenaan"
"02/11/2024 03:50","Rainfall (mm)","3.1"
"29/12/2024 16:20","Rainfall (mm)","3"
"29/12/2024 21:40","Rainfall (mm)","3"
"27/12/2024 21:00","Rainfall (mm)","2.7"
"29/12/2024 20:10","Rainfall (mm)","2.7"
"18/11/2024 11:10","Rainfall (mm)","2.6"
"01/11/2024 03:40","Rainfall (mm)","2.4"
"22/12/2024 04:40","Rainfall (mm)","2.3"
"27/12/2024 21:10","Rainfall (mm)","2.3"
"01/11/2024 04:50","Rainfall (mm)","2.2"
"18/11/2024 01:50","Rainfall (mm)","2.1"
"19/11/2024 08:00","Rainfall (mm)","2.1"
"27/12/2024 21:20","Rainfall (mm)","2.1"
"19/11/2024 07:50","Rainfall (mm)","1.9"
"27/12/2024 20:40","Rainfall (mm)","1.8"
"27/12/2024 21:30","Rainfall (mm)","1.8"
"28/12/2024 00:30","Rainfall (mm)","1.8"
"30/12/2024 01:50","Rainfall (mm)","1.8"
"27/12/2024 20:50","Rainfall (mm)","1.7"
"18/11/2024 02:00","Rainfall (mm)","1.6"
"19/11/2024 08:50","Rainfall (mm)","1.6"
"20/02/2025 06:40","Rainfall (mm)","1.6"
"19/11/2024 08:10","Rainfall (mm)","1.5"
"24/11/2024 09:10","Rainfall (mm)","1.5"
"27/12/2024 22:40","Rainfall (mm)","1.5"
"28/12/2024 11:30","Rainfall (mm)","1.5"
"29/12/2024 21:30","Rainfall (mm)","1.5"
"05/02/2025 18:10","Rainfall (mm)","1.5"
"06/02/2025 01:30","Rainfall (mm)","1.5"
"29/12/2024 20:20","Rainfall (mm)","1.4"
"22/12/2024 14:40","Rainfall (mm)","1.3"
"28/12/2024 11:40","Rainfall (mm)","1.3"
"29/12/2024 21:50","Rainfall (mm)","1.3"
"30/12/2024 20:10","Rainfall (mm)","1.3"
"31/12/2024 08:20","Rainfall (mm)","1.3"
"05/02/2025 23:50","Rainfall (mm)","1.3"
"18/11/2024 05:50","Rainfall (mm)","1.2"
"19/11/2024 09:10","Rainfall (mm)","1.2"
"19/11/2024 10:00","Rainfall (mm)","1.2"
"14/04/2025 21:30","Rainfall (mm)","1.2"
"25/09/2025 05:20","Rainfall (mm)","1.2"
"22/12/2024 14:00","Rainfall (mm)","1.1"
"28/12/2024 00:20","Rainfall (mm)","1.1"
"29/12/2024 16:40","Rainfall (mm)","1.1"
"30/12/2024 18:30","Rainfall (mm)","1.1"
"30/12/2024 20:00","Rainfall (mm)","1.1"
"05/02/2025 23:00","Rainfall (mm)","1.1"
"12/02/2025 14:30","Rainfall (mm)","1.1"
"20/02/2025 06:50","Rainfall (mm)","1.1"
"18/11/2024 22:00","Rainfall (mm)","1"
"19/11/2024 08:20","Rainfall (mm)","1"
"19/11/2024 08:40","Rainfall (mm)","1"
"22/12/2024 05:10","Rainfall (mm)","1"
"03/11/2024 11:50","Rainfall (mm)","0.9"
"19/11/2024 04:40","Rainfall (mm)","0.9"
"19/11/2024 04:50","Rainfall (mm)","0.9"
"22/12/2024 14:10","Rainfall (mm)","0.9"
"23/12/2024 20:30","Rainfall (mm)","0.9"
"27/12/2024 13:00","Rainfall (mm)","0.9"
"27/12/2024 22:00","Rainfall (mm)","0.9"
"27/12/2024 22:10","Rainfall (mm)","0.9"
"27/12/2024 23:10","Rainfall (mm)","0.9"
"28/12/2024 03:30","Rainfall (mm)","0.9"
"28/12/2024 05:30","Rainfall (mm)","0.9"
"28/12/2024 12:00","Rainfall (mm)","0.9"
"29/12/2024 16:30","Rainfall (mm)","0.9"
"30/12/2024 02:00","Rainfall (mm)","0.9"
"30/12/2024 18:20","Rainfall (mm)","0.9"
"05/02/2025 09:50","Rainfall (mm)","0.9"
"05/02/2025 23:40","Rainfall (mm)","0.9"
"20/02/2025 11:50","Rainfall (mm)","0.9"
"07/03/2025 09:40","Rainfall (mm)","0.9"
"19/11/2024 05:00","Rainfall (mm)","0.8"
"19/11/2024 05:10","Rainfall (mm)","0.8"
"19/11/2024 09:20","Rainfall (mm)","0.8"
"25/11/2024 01:40","Rainfall (mm)","0.8"
"22/12/2024 04:50","Rainfall (mm)","0.8"
"26/12/2024 08:40","Rainfall (mm)","0.8"
"27/12/2024 23:50","Rainfall (mm)","0.8"
"28/12/2024 05:40","Rainfall (mm)","0.8"
"28/12/2024 11:20","Rainfall (mm)","0.8"
"28/12/2024 15:40","Rainfall (mm)","0.8"
"29/12/2024 16:50","Rainfall (mm)","0.8"
"29/12/2024 22:30","Rainfall (mm)","0.8"
"29/12/2024 22:40","Rainfall (mm)","0.8"
"30/12/2024 13:50","Rainfall (mm)","0.8"
"30/12/2024 14:10","Rainfall (mm)","0.8"
"23/01/2025 07:10","Rainfall (mm)","0.8"
"05/02/2025 09:30","Rainfall (mm)","0.8"
"05/02/2025 15:10","Rainfall (mm)","0.8"
"06/02/2025 04:20","Rainfall (mm)","0.8"
"07/03/2025 09:50","Rainfall (mm)","0.8"
"20/03/2025 12:30","Rainfall (mm)","0.8"
"25/09/2025 05:30","Rainfall (mm)","0.8"
"18/11/2024 19:30","Rainfall (mm)","0.7"
"18/11/2024 21:40","Rainfall (mm)","0.7"
"19/11/2024 05:20","Rainfall (mm)","0.7"
"19/11/2024 05:30","Rainfall (mm)","0.7"
"27/11/2024 17:30","Rainfall (mm)","0.7"
"22/12/2024 05:00","Rainfall (mm)","0.7"
"22/12/2024 05:20","Rainfall (mm)","0.7"
"22/12/2024 05:30","Rainfall (mm)","0.7"
"22/12/2024 14:20","Rainfall (mm)","0.7"
"22/12/2024 14:50","Rainfall (mm)","0.7"
"27/12/2024 22:30","Rainfall (mm)","0.7"
"28/12/2024 00:10","Rainfall (mm)","0.7"
"28/12/2024 01:30","Rainfall (mm)","0.7"
"28/12/2024 02:50","Rainfall (mm)","0.7"
"28/12/2024 04:40","Rainfall (mm)","0.7"
"28/12/2024 05:00","Rainfall (mm)","0.7"
"30/12/2024 03:50","Rainfall (mm)","0.7"
"31/12/2024 08:00","Rainfall (mm)","0.7"
"05/02/2025 22:00","Rainfall (mm)","0.7"
"06/02/2025 04:10","Rainfall (mm)","0.7"
"12/02/2025 18:30","Rainfall (mm)","0.7"
"20/02/2025 06:30","Rainfall (mm)","0.7"
"20/03/2025 01:50","Rainfall (mm)","0.7"
"20/03/2025 10:30","Rainfall (mm)","0.7"
"12/04/2025 01:50","Rainfall (mm)","0.7"
"14/04/2025 21:40","Rainfall (mm)","0.7"
"09/10/2025 10:00","Rainfall (mm)","0.7"
"18/11/2024 19:40","Rainfall (mm)","0.6"
"18/11/2024 23:30","Rainfall (mm)","0.6"
"19/11/2024 08:30","Rainfall (mm)","0.6"
"19/11/2024 09:00","Rainfall (mm)","0.6"
"19/11/2024 10:10","Rainfall (mm)","0.6"
"26/11/2024 01:40","Rainfall (mm)","0.6"
"27/11/2024 17:20","Rainfall (mm)","0.6"
"22/12/2024 04:10","Rainfall (mm)","0.6"
"27/12/2024 13:10","Rainfall (mm)","0.6"
"27/12/2024 13:20","Rainfall (mm)","0.6"
"27/12/2024 13:30","Rainfall (mm)","0.6"
"27/12/2024 20:30","Rainfall (mm)","0.6"
"28/12/2024 00:50","Rainfall (mm)","0.6"
"28/12/2024 01:40","Rainfall (mm)","0.6"
"28/12/2024 02:40","Rainfall (mm)","0.6"
"28/12/2024 04:10","Rainfall (mm)","0.6"
"28/12/2024 04:30","Rainfall (mm)","0.6"
"28/12/2024 06:50","Rainfall (mm)","0.6"
"28/12/2024 11:50","Rainfall (mm)","0.6"
"28/12/2024 12:10","Rainfall (mm)","0.6"
